id,date_recorded
47236,2013-01-04
8633,2013-02-03
71487,2012-10-25
46268,2013-02-24
36093,2012-11-13
2591,2013-02-01
69669,2013-02-08
67377,2011-08-10
51185,2013-01-28
24049,2013-08-03
70835,2013-03-15
74176,2013-03-17
68037,2011-04-12
10992,2013-01-27
45886,2011-08-07
64793,2011-07-09
40808,2013-02-01
62565,2011-07-30
70379,2011-07-18
10089,2012-10-12
37364,2011-07-15
43345,2012-10-23
39310,2011-07-17
59713,2011-07-30
28945,2011-08-04
5074,2013-02-21
54009,2011-02-21
35563,2013-02-12
17668,2011-04-03
30390,2011-07-14
1298,2011-07-31
2993,2011-02-17
63712,2013-02-05
61979,2011-08-19
39704,2013-02-15
29191,2011-03-13
35649,2011-04-04
15840,2013-02-02
45415,2013-01-22
8055,2011-04-12
51403,2013-02-16
33963,2013-02-21
21669,2011-07-29
7900,2011-07-18
337,2013-01-26
17861,2013-02-17
13195,2011-04-06
54722,2013-01-18
2845,2011-08-04
17111,2011-03-27
21338,2012-10-23
49326,2012-10-05
15358,2013-02-09
33040,2011-03-19
40592,2011-04-04
29513,2011-03-23
51163,2011-08-21
40920,2012-10-15
65101,2011-03-09
21127,2011-03-16
67822,2013-11-03
14135,2013-02-21
10458,2013-03-24
32089,2012-10-29
8230,2013-10-03
43433,2013-10-02
62188,2011-04-01
19,2013-02-23
26577,2013-02-20
68887,2011-04-08
9382,2013-01-30
65238,2013-02-11
17897,2011-03-29
29744,2013-03-14
23987,2011-07-17
26655,2011-04-12
17978,2013-03-14
51558,2011-03-25
48007,2013-03-01
25534,2011-03-10
13969,2012-10-13
39548,2013-02-19
25143,2011-03-31
25736,2013-05-04
17516,2013-01-21
66980,2012-11-05
45444,2011-03-12
59310,2011-07-18
59102,2013-03-17
61883,2011-03-14
93,2013-02-26
15988,2011-09-04
19304,2011-03-04
44092,2013-02-14
66242,2011-03-24
51611,2013-02-13
53847,2011-03-20
67634,2013-02-12
24757,2013-03-16
37524,2013-03-04
16341,2012-10-21
39176,2011-03-19
24836,2013-02-03
73470,2011-04-08
11533,2012-10-26
74217,2013-06-04
7007,2011-02-22
4101,2011-08-14
17041,2011-08-20
38725,2011-04-16
39749,2013-03-18
62642,2013-03-25
49453,2013-03-29
63018,2011-03-07
65932,2013-02-07
56863,2013-02-26
23835,2011-03-19
34870,2013-02-05
39915,2013-03-19
9736,2011-07-24
70019,2011-07-25
20984,2011-08-04
20132,2013-02-07
5963,2013-02-23
3740,2011-03-03
26943,2011-03-17
43742,2013-02-17
5784,2011-08-06
42548,2011-03-19
5121,2011-03-18
57478,2011-07-12
58537,2013-02-21
3627,2011-03-11
4062,2011-07-30
15832,2013-03-22
34741,2013-08-02
67097,2011-03-04
4437,2013-09-03
65817,2013-03-17
39559,2011-03-21
54412,2011-04-08
25344,2011-02-23
2301,2013-03-15
32844,2013-03-14
59874,2011-07-28
50233,2013-03-12
29639,2011-04-01
65584,2013-03-30
43808,2012-10-13
6788,2013-02-13
51220,2012-10-21
16872,2011-07-27
66383,2013-12-03
58599,2013-02-04
29383,2012-10-10
36809,2011-02-20
29753,2011-07-13
72112,2013-01-22
34926,2013-01-19
59898,2011-03-26
779,2011-03-26
68126,2011-03-08
48102,2013-02-21
24794,2011-04-04
29771,2011-08-08
29052,2013-01-29
4923,2011-04-03
38642,2013-01-25
27079,2011-04-02
60111,2011-04-16
12478,2013-03-18
67155,2012-10-11
54733,2013-02-06
45654,2011-03-19
54678,2011-04-14
1439,2013-01-25
16313,2012-10-21
6735,2013-03-25
3328,2011-02-27
1220,2011-07-18
57970,2013-02-03
44204,2013-03-06
63675,2013-01-04
40519,2013-02-11
66382,2013-02-18
45386,2013-01-23
43604,2011-03-23
59053,2011-03-12
1030,2011-07-19
52677,2012-11-04
1738,2011-03-10
19548,2011-08-01
30897,2011-03-03
27523,2011-02-24
815,2013-02-04
14910,2013-02-17
11184,2013-02-24
49071,2013-03-16
22000,2012-10-02
60074,2013-02-03
60374,2013-04-04
25913,2011-03-09
6205,2011-02-24
48390,2013-06-04
3980,2011-04-16
11905,2013-03-19
45320,2011-03-05
31264,2013-02-01
16537,2012-10-23
9096,2011-07-14
33104,2013-02-13
11754,2012-10-07
4147,2013-02-09
53577,2013-03-25
42476,2011-03-07
68995,2013-01-28
32255,2011-03-24
8699,2011-04-18
1203,2011-08-03
70666,2013-02-28
26293,2013-03-18
44358,2013-03-05
64687,2013-02-14
71489,2012-11-15
61994,2013-03-15
42306,2011-08-12
67453,2013-02-04
11581,2013-01-23
14123,2013-02-18
18266,2011-08-03
59263,2013-03-18
6387,2011-04-01
28359,2011-03-05
17571,2013-03-02
53558,2013-03-13
66967,2012-10-12
72238,2011-03-13
12207,2013-02-25
68495,2011-08-23
19283,2011-02-24
38565,2013-02-05
3522,2012-10-08
21927,2011-04-01
60029,2013-02-06
26851,2011-03-20
41968,2013-01-28
38379,2011-03-17
54983,2012-10-15
68333,2011-03-04
65944,2011-03-23
5947,2011-04-10
42347,2011-03-11
67371,2011-04-02
64048,2013-03-06
42733,2011-03-07
4133,2011-04-12
50124,2011-03-04
69502,2011-03-19
45876,2011-04-12
52402,2011-07-13
24691,2011-02-23
67950,2011-02-26
19232,2013-03-05
65266,2013-02-27
48401,2011-03-03
53972,2013-03-26
59369,2011-03-19
21737,2011-07-13
13211,2013-01-29
63864,2011-03-01
30174,2011-04-16
70930,2013-01-21
36823,2012-10-18
63746,2011-04-11
24331,2011-03-19
41174,2011-07-24
70070,2013-02-25
31332,2011-03-29
11011,2011-03-23
12245,2011-03-04
68493,2013-03-07
5946,2011-02-23
27334,2011-03-18
60626,2013-01-24
69018,2013-03-18
49196,2011-04-04
26839,2013-02-12
58681,2013-02-05
70584,2012-10-21
6758,2012-12-14
65476,2013-01-16
63687,2011-02-25
49678,2013-02-22
57948,2011-03-07
42350,2011-03-17
4526,2011-02-20
51133,2011-03-11
70054,2012-10-23
48080,2013-01-20
12552,2011-02-14
52707,2011-04-12
68660,2011-07-28
64257,2013-02-05
46719,2013-02-01
17219,2013-08-03
29658,2011-03-29
14992,2013-03-18
56386,2011-07-21
8757,2011-03-24
13727,2012-10-29
22928,2013-06-03
63748,2013-01-14
42195,2011-04-10
36067,2013-02-11
54113,2013-01-20
59405,2011-04-14
62511,2013-01-20
23315,2012-10-04
40509,2013-01-17
45093,2011-03-24
45889,2011-07-26
71634,2012-10-21
15250,2011-07-28
32245,2013-01-24
3777,2011-07-16
71658,2011-03-25
48546,2011-04-07
11957,2011-04-14
49862,2013-03-18
38775,2012-10-16
66760,2013-02-14
61574,2011-08-02
57395,2013-01-30
21830,2012-11-15
18225,2011-03-05
25165,2011-03-14
67199,2011-08-05
22385,2011-03-23
4636,2011-02-22
35726,2011-03-04
6939,2012-10-19
31692,2011-02-24
47016,2011-08-11
53147,2013-01-27
27776,2011-08-03
17242,2011-03-12
53218,2011-03-14
60433,2012-10-19
48033,2011-04-15
58642,2013-01-25
7420,2013-01-29
11811,2011-07-28
54548,2013-03-30
54848,2013-03-14
32336,2011-03-17
26535,2013-02-09
71856,2013-02-22
53518,2013-01-21
11087,2011-02-22
14701,2013-03-16
11447,2013-01-21
23819,2011-03-23
27069,2013-11-03
21064,2011-03-20
36711,2011-07-31
37750,2011-03-08
47102,2011-03-05
13734,2011-03-27
50708,2013-03-15
38763,2011-03-13
38220,2013-02-07
5060,2013-02-11
29153,2013-01-24
53985,2012-10-27
6519,2013-03-06
47117,2013-02-23
20625,2013-02-10
46110,2013-01-16
72474,2011-03-31
623,2013-01-25
27561,2013-05-03
52067,2013-03-22
6757,2011-03-26
54596,2012-10-15
67545,2011-08-08
51355,2012-10-22
28846,2011-03-20
13685,2011-03-11
7863,2011-07-12
55543,2013-02-13
63908,2011-03-11
23407,2011-03-11
57452,2013-03-01
42339,2011-03-23
42491,2013-05-03
27128,2012-10-04
28741,2011-02-21
7936,2011-07-23
40427,2013-01-24
64144,2011-03-09
15188,2012-10-17
25220,2013-02-18
59031,2011-02-22
69979,2011-07-29
25199,2012-10-19
70644,2013-09-02
7841,2013-01-18
32699,2012-10-02
25339,2011-04-04
53106,2011-04-08
39953,2012-10-03
22679,2011-04-10
32012,2013-02-09
35007,2011-03-11
19409,2013-02-10
54670,2011-03-05
36702,2011-02-23
57293,2012-11-05
50001,2013-01-25
6002,2013-03-19
46231,2013-03-20
10342,2011-03-17
54599,2012-11-15
26302,2013-02-26
24052,2011-07-13
11362,2012-11-08
4554,2011-03-11
3873,2011-02-15
1856,2011-03-19
19574,2013-02-10
3843,2012-10-24
71216,2011-07-12
42487,2013-03-10
19869,2013-03-17
71891,2012-10-08
5875,2013-01-17
63423,2013-07-03
38537,2012-10-24
880,2011-03-08
28306,2013-02-06
69377,2013-01-25
492,2012-10-23
11641,2011-07-06
69883,2013-03-19
8709,2013-02-14
8316,2013-03-20
32164,2011-08-04
49888,2013-01-22
17809,2011-03-11
71837,2012-10-05
36267,2013-01-23
64333,2013-01-22
39105,2013-02-16
13866,2012-10-29
42943,2013-01-23
42959,2013-01-17
27736,2011-03-13
68179,2011-07-08
19672,2011-03-31
37322,2013-03-23
42431,2011-02-27
25766,2012-12-13
70897,2011-08-25
61759,2013-02-06
64031,2011-03-17
18488,2011-03-21
13501,2013-04-04
26856,2011-02-25
59448,2011-07-25
56471,2013-02-23
17287,2012-10-26
8080,2013-02-06
27799,2012-10-22
35558,2013-02-08
63978,2013-02-01
45566,2013-01-26
61039,2012-10-18
71895,2011-07-27
968,2013-01-04
3995,2004-08-01
1604,2011-08-25
53188,2013-02-14
5562,2011-03-21
10976,2013-01-18
18814,2011-03-04
43732,2011-03-08
72282,2013-03-17
69101,2013-01-17
25947,2011-07-07
43149,2011-03-20
50383,2013-03-03
49431,2013-01-19
45744,2011-04-06
18848,2011-07-28
711,2013-02-22
6044,2011-04-09
2940,2013-01-30
57305,2011-04-01
58286,2012-12-14
66643,2011-04-01
12756,2013-03-04
15545,2011-02-23
47221,2012-10-19
2414,2013-02-22
11497,2011-04-03
71236,2012-10-31
26174,2011-03-07
14985,2013-06-03
41560,2012-10-18
26204,2011-08-04
21623,2011-03-05
37757,2013-03-14
59179,2012-10-21
1981,2011-03-08
72237,2013-03-15
51820,2013-02-09
23732,2011-07-23
47193,2011-02-22
5464,2013-02-25
57085,2011-08-07
59694,2013-02-24
56708,2011-03-15
3091,2011-04-16
37039,2013-05-04
13201,2013-01-24
10527,2011-02-23
40666,2012-10-22
47783,2013-01-30
47756,2013-01-24
66682,2011-03-11
11388,2011-08-05
1605,2011-03-10
10065,2011-04-02
72943,2011-04-03
38507,2011-04-18
54163,2011-03-24
27790,2011-04-01
37114,2011-03-15
70237,2013-01-17
47075,2011-03-30
61558,2013-02-28
28921,2011-07-31
38293,2011-03-16
23288,2011-03-06
50641,2011-07-18
1074,2011-04-05
68641,2013-02-15
40102,2011-03-15
51665,2013-07-02
13739,2011-04-04
60171,2011-07-30
18825,2013-04-04
7942,2013-02-27
60688,2011-03-06
9401,2011-03-14
58495,2012-10-05
41985,2013-02-16
17569,2013-03-13
14438,2013-02-05
52390,2011-07-18
37241,2011-03-07
37507,2013-02-21
2829,2012-10-22
34664,2011-03-27
16672,2011-04-14
4778,2011-07-08
55567,2013-03-22
11871,2011-07-15
27571,2011-03-03
13555,2011-03-04
23465,2013-02-01
28822,2012-11-12
50898,2011-08-01
53006,2011-03-23
56631,2013-03-20
46988,2011-02-28
4672,2011-07-12
35778,2011-03-13
70424,2011-07-26
58389,2013-01-23
11695,2013-01-21
37915,2011-07-31
65995,2013-01-29
8988,2011-03-11
12598,2013-02-26
34130,2013-02-15
28032,2011-02-26
72055,2011-04-04
14727,2013-02-26
7784,2011-07-13
44120,2011-03-07
6424,2011-03-14
146,2011-03-21
56277,2011-03-27
60410,2011-07-13
61169,2013-02-18
22244,2011-07-28
61060,2011-02-25
33006,2013-11-03
6988,2013-03-21
23156,2011-03-11
54772,2011-02-25
19362,2013-01-23
60535,2011-02-02
54055,2012-10-08
6171,2011-02-24
48519,2013-01-27
33946,2013-02-02
68894,2011-03-21
36606,2012-10-23
72553,2012-10-07
13987,2013-01-20
20639,2011-04-08
21896,2011-03-25
25354,2011-02-25
24752,2013-04-03
7691,2013-03-16
61992,2013-02-06
19080,2011-08-25
34305,2013-01-17
36513,2013-03-28
41986,2013-03-26
36255,2013-02-21
28016,2013-01-31
55033,2011-03-12
18928,2011-07-10
44976,2012-10-18
7296,2011-04-17
10085,2013-01-30
15643,2011-03-31
1817,2013-03-13
15975,2013-01-22
22396,2011-07-05
2547,2011-04-11
24638,2013-02-01
47697,2012-10-26
25000,2012-10-26
52461,2013-02-09
49160,2011-04-12
42590,2013-02-28
65061,2011-07-24
25243,2011-03-23
30320,2011-03-14
69136,2012-10-08
28993,2011-03-07
25367,2011-04-17
53109,2011-07-26
18169,2011-03-19
18729,2011-03-04
40750,2011-03-09
16363,2011-03-31
22402,2011-02-27
52686,2011-07-28
50841,2011-06-04
12656,2013-02-25
21315,2013-02-04
32543,2011-07-24
73274,2012-11-08
20697,2011-08-05
5009,2013-03-30
19781,2013-02-27
56226,2011-03-05
69168,2013-03-13
26962,2013-01-28
43964,2011-03-15
72849,2013-03-04
15974,2011-03-10
5071,2011-02-25
44480,2013-02-15
54327,2011-03-03
55560,2011-08-05
5563,2011-07-14
44490,2012-10-12
4379,2013-01-30
58526,2011-03-26
41227,2011-04-18
9069,2013-02-18
32952,2013-02-19
42342,2011-08-03
5455,2011-08-04
39280,2011-03-19
43079,2011-04-02
46510,2011-08-22
17088,2011-03-11
61476,2013-02-01
44578,2013-02-04
46507,2011-02-26
38201,2011-04-02
15306,2013-01-26
20347,2013-03-07
72772,2011-07-06
52991,2012-10-04
68844,2011-02-17
16923,2011-04-09
22283,2013-01-21
54056,2013-02-03
3968,2011-03-22
33094,2011-10-07
20020,2011-03-30
25712,2012-10-18
30261,2013-03-28
38474,2011-07-12
36914,2013-01-30
21383,2013-02-18
45754,2012-10-22
61131,2011-03-12
11961,2011-03-18
59071,2013-02-10
458,2013-04-03
1678,2013-01-26
32502,2013-09-03
14763,2011-04-04
41826,2011-03-30
17360,2013-02-10
62435,2011-03-28
60873,2011-03-28
61750,2011-03-20
47384,2013-02-14
11570,2012-10-12
5769,2013-02-19
41064,2012-10-27
73337,2013-02-22
2296,2011-07-31
30758,2013-02-09
11249,2011-03-09
8975,2012-10-22
15697,2013-02-19
55516,2011-04-03
68770,2011-02-23
34340,2011-04-02
73545,2011-03-10
21946,2011-03-29
20011,2011-01-03
12096,2011-03-19
52980,2013-01-24
41433,2011-03-05
21810,2013-01-17
8064,2013-01-13
72386,2012-10-03
6948,2013-02-26
61190,2013-02-17
29182,2011-03-29
5277,2011-08-07
21792,2011-03-20
34375,2011-03-19
26402,2013-01-16
65213,2011-04-10
34298,2013-02-18
72359,2011-07-19
19234,2011-07-06
1408,2013-01-16
60705,2013-02-15
19262,2013-03-24
61177,2012-11-09
15666,2013-01-16
11352,2011-07-12
19595,2011-03-05
2523,2013-03-22
51714,2011-02-23
47206,2013-02-17
46752,2011-07-20
54871,2013-03-18
30036,2011-03-10
24034,2011-03-01
7334,2013-02-20
70461,2011-03-22
74188,2013-01-11
52643,2012-10-26
30990,2012-10-22
20637,2011-01-08
52547,2011-03-31
15529,2013-02-04
48505,2011-07-17
5968,2011-06-04
17278,2013-02-03
55164,2013-02-12
21952,2013-03-26
30140,2011-03-02
23296,2011-03-26
59327,2011-03-02
34823,2013-02-25
13244,2013-01-18
14675,2013-07-04
36360,2013-01-31
59257,2013-02-08
68473,2013-03-19
6592,2013-02-04
39088,2013-03-17
15044,2013-01-26
45312,2011-03-24
25635,2011-03-20
3246,2011-07-26
72352,2013-09-03
2427,2011-08-03
15178,2011-03-14
32145,2011-08-02
38563,2012-10-26
57980,2011-03-30
58115,2011-07-21
6905,2011-03-19
38261,2013-09-02
46317,2011-07-29
47744,2013-01-29
4674,2011-02-26
7464,2011-03-09
54386,2011-03-15
58753,2011-07-13
8734,2011-03-23
20205,2013-02-08
57641,2013-01-20
3215,2011-02-18
20872,2011-07-23
34554,2011-07-21
9793,2011-03-10
43016,2011-04-12
4435,2011-03-22
32760,2013-03-13
11879,2011-02-23
10835,2013-02-04
24198,2011-08-01
14783,2013-03-04
49627,2011-08-13
16898,2012-10-19
18730,2011-07-23
51370,2013-02-03
42001,2011-08-06
45954,2011-07-23
4072,2011-07-15
25132,2011-02-25
37522,2013-01-18
9850,2011-07-19
11736,2011-02-28
72024,2013-02-15
34272,2013-01-24
27733,2012-11-06
19274,2011-08-02
44507,2011-04-17
70026,2011-08-04
21745,2011-07-27
47134,2011-07-19
47471,2013-02-18
33789,2011-07-28
48621,2011-03-16
68054,2012-11-03
50879,2011-07-22
60376,2011-04-17
27378,2013-01-26
42383,2011-03-11
74085,2013-02-21
55074,2013-02-17
46138,2011-07-22
27695,2011-06-03
30098,2013-01-12
25576,2012-10-25
10479,2013-03-08
59522,2013-02-11
57162,2013-01-29
17413,2011-08-01
2080,2013-01-16
64577,2011-04-12
28942,2013-01-29
8686,2011-03-18
9182,2013-01-23
20207,2013-01-13
16679,2011-03-03
11991,2013-02-28
2484,2011-03-09
58277,2013-03-01
51371,2011-07-24
32063,2011-03-30
69226,2011-07-11
47870,2013-01-17
3634,2011-03-15
7061,2013-02-02
46652,2013-02-01
59430,2011-07-29
3948,2012-10-28
21067,2011-03-03
31713,2011-03-17
19346,2011-07-12
1775,2011-08-06
25178,2011-07-25
30241,2011-02-25
31034,2013-04-03
33553,2011-07-23
53697,2013-01-30
13285,2012-10-08
38383,2013-09-03
19061,2012-10-22
32551,2011-02-26
21065,2012-11-03
62237,2013-03-22
29950,2011-02-28
64684,2013-01-18
6081,2011-03-17
3640,2013-03-18
69862,2011-03-14
14082,2012-10-29
71302,2013-01-17
11549,2013-01-16
5116,2011-07-27
66603,2011-03-04
20685,2013-02-03
44654,2012-10-03
65214,2011-07-27
19542,2011-07-18
20122,2004-12-01
15760,2011-08-13
69542,2011-08-04
8263,2013-04-04
66753,2013-02-18
64690,2013-03-06
48178,2012-10-27
55522,2011-02-20
38157,2011-03-27
44506,2011-03-19
57174,2011-03-28
46378,2013-03-20
58390,2011-04-02
25232,2013-02-04
57258,2011-02-28
20382,2011-02-20
26220,2013-02-06
89,2011-04-03
16438,2013-03-07
11416,2012-10-26
7221,2013-02-09
20028,2011-03-14
59420,2011-03-15
32185,2011-07-07
9770,2013-03-20
45510,2011-08-04
14924,2013-02-05
52979,2011-03-26
5291,2012-10-25
46549,2012-11-03
45439,2011-07-31
69379,2011-08-04
30775,2012-12-16
40847,2013-02-03
26627,2012-11-06
66498,2013-02-18
8465,2012-10-25
782,2011-08-18
62372,2011-07-15
18829,2011-11-07
67735,2011-03-16
28909,2011-03-11
44269,2013-03-23
5415,2012-10-11
5759,2013-03-26
22936,2013-07-03
66423,2013-01-30
38140,2011-03-12
60313,2013-01-29
10242,2013-12-03
46865,2013-01-22
5589,2013-02-15
21141,2011-03-09
32361,2013-02-12
25692,2011-04-13
30213,2011-07-25
34176,2011-07-27
18875,2013-03-29
19102,2011-04-06
51699,2012-10-13
63993,2013-03-03
53761,2011-07-27
73367,2012-10-19
50957,2013-02-16
23014,2011-07-26
66976,2013-03-01
52436,2013-02-12
33848,2011-07-14
73056,2013-01-23
3402,2013-02-03
65763,2013-02-10
33725,2013-01-20
66518,2013-03-23
13536,2013-02-16
29378,2011-03-30
27291,2013-01-17
59249,2012-10-22
4841,2013-02-26
14102,2011-08-04
37723,2011-07-30
20279,2011-07-23
16855,2011-04-01
30106,2011-03-21
48019,2013-01-27
48536,2011-04-10
37967,2013-02-03
3236,2013-02-15
55345,2013-03-18
10355,2013-02-09
41454,2013-03-04
1741,2011-08-01
63429,2012-10-26
42642,2013-02-21
65474,2013-02-26
9937,2011-02-27
4821,2011-03-24
18787,2011-03-21
57556,2013-03-30
57950,2013-02-20
40320,2011-02-27
59704,2013-03-16
19257,2013-02-28
25248,2013-01-31
41336,2013-02-24
20182,2013-01-25
52629,2013-01-25
7897,2013-02-24
71021,2011-03-26
31727,2011-03-14
37557,2013-01-21
36547,2011-03-26
53864,2013-01-24
7229,2013-01-22
13315,2013-01-15
10465,2012-11-04
32508,2011-03-22
24543,2013-07-04
11916,2011-03-11
23866,2011-03-23
11191,2013-01-30
17596,2011-03-12
19273,2013-02-17
43652,2013-01-30
68467,2013-02-03
48901,2011-03-11
64046,2011-03-30
33622,2011-03-26
68432,2013-03-18
62247,2011-07-19
50443,2013-02-16
74236,2011-03-21
1347,2011-07-23
55447,2011-07-27
16362,2011-08-10
19344,2011-04-06
4295,2013-03-30
22881,2011-03-01
11010,2011-02-23
43140,2013-03-22
49775,2011-08-04
34482,2011-03-17
72330,2011-07-19
13625,2013-01-29
5309,2011-03-16
40563,2013-01-28
50709,2013-02-19
2834,2011-08-02
30624,2011-02-26
55188,2013-01-22
67538,2013-01-28
61508,2011-03-04
39621,2013-01-30
12268,2012-10-22
55253,2013-02-25
58598,2011-07-27
17659,2011-03-18
54610,2013-03-25
57454,2011-07-11
60348,2011-03-21
42980,2012-11-13
66722,2012-10-12
71813,2011-08-22
44200,2011-04-09
57826,2013-08-03
9521,2012-11-01
63061,2011-03-24
12240,2013-07-03
7440,2013-03-20
63483,2012-10-15
21939,2011-02-24
36280,2013-03-27
6354,2013-03-18
46823,2012-10-03
5250,2012-10-12
72255,2013-02-22
2004,2011-03-15
2628,2013-02-03
66328,2011-03-04
11943,2013-01-21
44469,2011-03-15
67908,2011-07-16
28644,2011-07-30
35405,2013-02-15
26072,2012-11-01
12040,2013-03-26
73528,2011-07-04
55925,2011-08-10
16166,2013-01-19
5813,2011-07-22
7866,2011-03-24
54862,2011-02-21
48436,2013-01-27
2756,2011-12-03
44054,2013-03-29
40419,2013-03-08
26897,2013-01-22
8126,2011-02-28
42971,2013-02-03
66050,2011-04-15
29501,2013-02-18
37269,2013-02-02
45875,2013-02-25
51595,2013-02-06
8814,2011-03-30
30978,2013-02-02
27909,2011-04-12
29078,2013-01-28
9452,2013-02-10
56080,2011-03-20
18193,2011-03-10
74098,2013-01-24
